complaint_id,category,narrative,amount_lost,victim_city,modus_operandi_tags
RAG_CMP_0059,digital_arrest,"I am filing this formal complaint regarding a highly sophisticated cyber fraud that occurred on January 04, 2024. I am a 62-year-old resident of Kolkata. I received an automated Interactive Voice Response (IVR) call claiming that a mobile number registered in my name was being used to send illegal threat messages and that my cellular services would be blocked in two hours. I pressed '9' to speak to an executive and was connected to a man claiming to represent Police. He transferred my call to what he described as the 'cyber crime investigation branch'. I was then manipulated into logging on to a video call for formal questioning. The individuals on the screen were wearing uniforms and sitting behind heavy wooden desks with the Police logo prominently displayed in the background. They informed me that multiple bank accounts had been opened using my PAN card to fund illicit activities across international borders. They convinced me that I was a prime suspect and placed me under a so-called 'digital arrest'. They claimed that my local physical movements were currently being tracked and any attempt to log off would result in immediate physical detention by a local raid team. Under incredible mental distress and duress spanning 32 hours, they convinced me that the only way to avoid formal imprisonment was to deposit a 'security clearance bond'. Desperate to defend my reputation and believing their threats were completely legitimate, I gathered funds by liquidating my fixed deposits and transferred Rs. 3,240,867 using RTGS to the accounts they dictated. The scammers assured me the money was just held in an escrow account. I am left financially ruined and deeply traumatized by this impersonation scam.",3240867,Kolkata,"digital_arrest, impersonation, police, video_call, coercion"
RAG_CMP_0138,digital_arrest,"My nightmare began on the morning of September 16, 2024 in Mumbai. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the Customs and forced me to immediately download an application to initiate a Skype call. I am 43 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior Customs director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 38 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 919,064 to an 'auditor verification ledger' via IMPS/NEFT to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",919064,Mumbai,"digital_arrest, impersonation, customs, skype_call, coercion"
RAG_CMP_0167,digital_arrest,"On December 12, 2024, I was at my residence in Jaipur when I received an unexpected phone call at around 19:15. The caller identified themselves as a senior investigating officer from the Police. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 35-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a Zoom call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 25 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure Police investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 3,496,531 via UPI. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",3496531,Jaipur,"digital_arrest, impersonation, police, zoom_call, coercion"
RAG_CMP_0310,qr_code_scam,"While visiting a local shop in Lucknow, I tried to pay using a QR code pasted on the wall. After scanning, I made a payment of Rs. 123,768. Later, the shopkeeper said he didn't receive it. It turns out someone had pasted a fake QR code sticker over the original one. I lost my money and had to pay the shopkeeper again.",123768,Lucknow,"qr_code_scam, financial_loss, cybercrime"
RAG_CMP_0395,investment_fraud,"I was added to a Telegram group promising 300% returns on crypto investments. The members shared fake screenshots of huge profits. I am 71 years old and seeking financial stability in Ahmedabad. I invested an initial sum, which showed a profit on their fake portal. Encouraged, I invested a total of Rs. 153,741. When I tried to withdraw, they blocked my account and vanished.",153741,Ahmedabad,"investment_fraud, financial_loss, cybercrime"
RAG_CMP_0281,qr_code_scam,"A person approached me saying he had urgent cash but needed an online transfer. He gave me Rs. 2000 in physical cash and asked me to scan his QR code to transfer the equivalent amount. I scanned and authorized Rs. 115,886, but soon realized the cash he handed me were counterfeit notes. I am a 34-year-old resident of Jaipur.",115886,Jaipur,"qr_code_scam, financial_loss, cybercrime"
RAG_CMP_0331,fake_customer_care,"My flight was cancelled and I was looking for an airline refund. I found a toll-free number online. The 'agent' told me to pay a small processing fee of Rs. 10 to receive the full refund. They sent a link, but the transaction actually debited Rs. 165,061 from my savings. I reported it to the local police in Hyderabad.",165061,Hyderabad,"fake_customer_care, financial_loss, cybercrime"
RAG_CMP_0159,digital_arrest,"On November 08, 2024, I was at my residence in Mumbai when I received an unexpected phone call at around 10:23. The caller identified themselves as a senior investigating officer from the Police. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 40-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a Zoom call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 35 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure Police investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 4,446,205 via crypto exchange transfer. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",4446205,Mumbai,"digital_arrest, impersonation, police, zoom_call, coercion"
RAG_CMP_0225,upi_phishing,"I received an SMS stating that my electricity bill for my Lucknow residence was unpaid and power would be disconnected tonight. The message contained a payment link. I clicked it and was redirected to a payment gateway that looked legitimate. I entered my UPI details, and Rs. 401,767 was withdrawn automatically. The sender's number is now switched off.",401767,Lucknow,"upi_phishing, financial_loss, cybercrime"
RAG_CMP_0199,digital_arrest,"On February 10, 2024, I was at my residence in Bangalore when I received an unexpected phone call at around 12:12. The caller identified themselves as a senior investigating officer from the Police. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 45-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a WhatsApp video call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 20 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure Police investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 4,402,830 via IMPS/NEFT. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",4402830,Bangalore,"digital_arrest, impersonation, police, whatsapp_video_call, coercion"
RAG_CMP_0233,upi_phishing,"I received an SMS stating that my electricity bill for my Jaipur residence was unpaid and power would be disconnected tonight. The message contained a payment link. I clicked it and was redirected to a payment gateway that looked legitimate. I entered my UPI details, and Rs. 442,766 was withdrawn automatically. The sender's number is now switched off.",442766,Jaipur,"upi_phishing, financial_loss, cybercrime"
RAG_CMP_0030,digital_arrest,"On February 11, 2024, I was at my residence in Hyderabad when I received an unexpected phone call at around 14:42. The caller identified themselves as a senior investigating officer from the CBI. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 50-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a WhatsApp video call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 41 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure CBI investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 383,377 via RTGS. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",383377,Hyderabad,"digital_arrest, impersonation, cbi, whatsapp_video_call, coercion"
RAG_CMP_0391,investment_fraud,"An Instagram influencer promoted a stock trading platform that uses 'AI algorithms' for guaranteed profits. I created an account and transferred Rs. 128,100 via bank transfer. Over a few weeks, the dashboard showed my portfolio tripling in value. However, any withdrawal request prompted a demand for 30% 'tax payments' upfront. It was an elaborate Ponzi scheme.",128100,Jaipur,"investment_fraud, financial_loss, cybercrime"
RAG_CMP_0254,upi_phishing,"I received an SMS stating that my electricity bill for my Ahmedabad residence was unpaid and power would be disconnected tonight. The message contained a payment link. I clicked it and was redirected to a payment gateway that looked legitimate. I entered my UPI details, and Rs. 135,450 was withdrawn automatically. The sender's number is now switched off.",135450,Ahmedabad,"upi_phishing, financial_loss, cybercrime"
RAG_CMP_0084,digital_arrest,"My nightmare began on the morning of August 07, 2024 in Hyderabad. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the RBI and forced me to immediately download an application to initiate a Zoom call. I am 58 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior RBI director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 39 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 2,544,378 to an 'auditor verification ledger' via crypto exchange transfer to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",2544378,Hyderabad,"digital_arrest, impersonation, rbi, zoom_call, coercion"
RAG_CMP_0414,investment_fraud,"An Instagram influencer promoted a stock trading platform that uses 'AI algorithms' for guaranteed profits. I created an account and transferred Rs. 419,253 via bank transfer. Over a few weeks, the dashboard showed my portfolio tripling in value. However, any withdrawal request prompted a demand for 30% 'tax payments' upfront. It was an elaborate Ponzi scheme.",419253,Ahmedabad,"investment_fraud, financial_loss, cybercrime"
RAG_CMP_0147,digital_arrest,"I am filing this formal complaint regarding a highly sophisticated cyber fraud that occurred on July 13, 2024. I am a 32-year-old resident of Chennai. I received an automated Interactive Voice Response (IVR) call claiming that a mobile number registered in my name was being used to send illegal threat messages and that my cellular services would be blocked in two hours. I pressed '9' to speak to an executive and was connected to a man claiming to represent CBI. He transferred my call to what he described as the 'cyber crime investigation branch'. I was then manipulated into logging on to a Zoom call for formal questioning. The individuals on the screen were wearing uniforms and sitting behind heavy wooden desks with the CBI logo prominently displayed in the background. They informed me that multiple bank accounts had been opened using my PAN card to fund illicit activities across international borders. They convinced me that I was a prime suspect and placed me under a so-called 'digital arrest'. They claimed that my local physical movements were currently being tracked and any attempt to log off would result in immediate physical detention by a local raid team. Under incredible mental distress and duress spanning 10 hours, they convinced me that the only way to avoid formal imprisonment was to deposit a 'security clearance bond'. Desperate to defend my reputation and believing their threats were completely legitimate, I gathered funds by liquidating my fixed deposits and transferred Rs. 1,523,834 using crypto exchange transfer to the accounts they dictated. The scammers assured me the money was just held in an escrow account. I am left financially ruined and deeply traumatized by this impersonation scam.",1523834,Chennai,"digital_arrest, impersonation, cbi, zoom_call, coercion"
RAG_CMP_0113,digital_arrest,"I am filing this formal complaint regarding a highly sophisticated cyber fraud that occurred on January 05, 2024. I am a 43-year-old resident of Jaipur. I received an automated Interactive Voice Response (IVR) call claiming that a mobile number registered in my name was being used to send illegal threat messages and that my cellular services would be blocked in two hours. I pressed '9' to speak to an executive and was connected to a man claiming to represent Police. He transferred my call to what he described as the 'cyber crime investigation branch'. I was then manipulated into logging on to a Skype call for formal questioning. The individuals on the screen were wearing uniforms and sitting behind heavy wooden desks with the Police logo prominently displayed in the background. They informed me that multiple bank accounts had been opened using my PAN card to fund illicit activities across international borders. They convinced me that I was a prime suspect and placed me under a so-called 'digital arrest'. They claimed that my local physical movements were currently being tracked and any attempt to log off would result in immediate physical detention by a local raid team. Under incredible mental distress and duress spanning 19 hours, they convinced me that the only way to avoid formal imprisonment was to deposit a 'security clearance bond'. Desperate to defend my reputation and believing their threats were completely legitimate, I gathered funds by liquidating my fixed deposits and transferred Rs. 3,370,259 using UPI to the accounts they dictated. The scammers assured me the money was just held in an escrow account. I am left financially ruined and deeply traumatized by this impersonation scam.",3370259,Jaipur,"digital_arrest, impersonation, police, skype_call, coercion"
RAG_CMP_0260,upi_phishing,"On November 30, 2024, I was trying to sell some old furniture online. A buyer contacted me and agreed to the price. However, instead of sending money, they sent a QR code and a link via WhatsApp. I clicked the link, and it asked for my UPI PIN. Thinking it was required to receive the payment, I entered my PIN. Instantly, Rs. 214,336 was deducted from my account. I live in Lucknow and I'm 30 years old.",214336,Lucknow,"upi_phishing, financial_loss, cybercrime"
RAG_CMP_0335,fake_customer_care,"I was facing issues with my broadband connection in Kolkata. I googled the customer care number and called the first result. The person on the other end asked me to install a remote access app called AnyDesk to fix the router settings. Within minutes of granting access, they opened my banking app and transferred Rs. 437,922 out of my account. I am 56 years old.",437922,Kolkata,"fake_customer_care, financial_loss, cybercrime"
RAG_CMP_0093,digital_arrest,"My nightmare began on the morning of June 19, 2024 in Kolkata. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the RBI and forced me to immediately download an application to initiate a video call. I am 65 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior RBI director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 28 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 2,968,908 to an 'auditor verification ledger' via crypto exchange transfer to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",2968908,Kolkata,"digital_arrest, impersonation, rbi, video_call, coercion"
RAG_CMP_0068,digital_arrest,"On November 03, 2024, I was at my residence in Delhi when I received an unexpected phone call at around 20:07. The caller identified themselves as a senior investigating officer from the Police. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 62-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a WhatsApp video call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 45 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure Police investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 2,579,858 via UPI. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",2579858,Delhi,"digital_arrest, impersonation, police, whatsapp_video_call, coercion"
RAG_CMP_0323,fake_customer_care,"I was facing issues with my broadband connection in Delhi. I googled the customer care number and called the first result. The person on the other end asked me to install a remote access app called AnyDesk to fix the router settings. Within minutes of granting access, they opened my banking app and transferred Rs. 422,868 out of my account. I am 32 years old.",422868,Delhi,"fake_customer_care, financial_loss, cybercrime"
RAG_CMP_0071,digital_arrest,"My nightmare began on the morning of October 30, 2024 in Pune. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the Customs and forced me to immediately download an application to initiate a Zoom call. I am 64 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior Customs director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 48 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 3,703,863 to an 'auditor verification ledger' via crypto exchange transfer to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",3703863,Pune,"digital_arrest, impersonation, customs, zoom_call, coercion"
