account_id,creation_date,account_type,bank_name,is_dormant,days_since_last_activity,is_mule
ACC003032,2019-10-24,personal,Kotak Mahindra Bank,False,24,False
ACC007938,2024-05-03,business,Union Bank of India,False,2,False
ACC003039,2019-09-17,personal,ICICI Bank,False,5,False
ACC009655,2022-11-08,personal,Bank of India,False,25,False
ACC002545,2022-08-15,personal,Bank of India,False,28,False
ACC002592,2024-06-27,personal,Punjab National Bank,False,30,False
ACC001188,2023-07-21,business,Bank of Baroda,False,25,False
ACC007966,2021-08-23,personal,Federal Bank,False,18,False
ACC006077,2019-12-06,personal,IndusInd Bank,False,24,False
ACC000107,2023-04-03,business,Kotak Mahindra Bank,False,25,False
ACC001315,2023-03-25,personal,Bank of Baroda,False,21,False
ACC008187,2023-10-20,business,Bank of India,False,9,False
ACC002753,2023-09-17,personal,Federal Bank,False,30,False
ACC009753,2024-12-14,personal,Kotak Mahindra Bank,False,4,True
ACC006231,2019-08-30,personal,Axis Bank,False,24,False
ACC002876,2023-01-24,personal,Bank of Baroda,False,16,False
ACC005323,2023-03-24,personal,Yes Bank,False,18,False
ACC000799,2019-09-27,personal,State Bank of India,False,19,False
ACC003570,2020-12-28,personal,Punjab National Bank,False,1,False
ACC002894,2022-08-09,personal,Canara Bank,False,0,False
ACC002927,2023-10-23,business,Kotak Mahindra Bank,False,14,False
ACC008178,2019-11-20,personal,Punjab National Bank,False,0,False
ACC000971,2021-04-12,personal,Union Bank of India,False,25,False
ACC006687,2019-08-10,personal,Canara Bank,False,18,False
ACC008575,2020-09-22,personal,State Bank of India,False,20,False
ACC002020,2024-03-04,personal,Union Bank of India,False,10,False
ACC009054,2023-04-19,personal,Yes Bank,False,6,False
ACC000952,2021-10-28,personal,Bank of India,False,13,False
ACC005359,2020-06-03,personal,Kotak Mahindra Bank,False,8,False
ACC003857,2021-08-30,personal,Federal Bank,True,141,False
ACC005861,2022-10-04,personal,Canara Bank,False,28,False
ACC003145,2023-11-15,business,Punjab National Bank,False,25,False
ACC003305,2021-10-24,personal,Axis Bank,False,18,False
ACC003006,2021-01-21,personal,ICICI Bank,False,25,False
ACC009001,2022-01-28,personal,Bank of India,False,24,False
ACC007770,2019-07-11,personal,Kotak Mahindra Bank,False,9,False
ACC007438,2023-08-20,business,HDFC Bank,False,4,False
ACC007942,2022-05-26,business,Canara Bank,False,3,False
ACC009238,2021-03-22,personal,IDBI Bank,False,17,False
ACC001056,2020-10-05,personal,Kotak Mahindra Bank,False,16,False
ACC003154,2020-03-25,personal,IndusInd Bank,False,7,False
ACC003787,2022-02-12,personal,HDFC Bank,False,29,False
ACC009189,2020-09-16,personal,Federal Bank,False,2,False
ACC007825,2021-11-28,business,Yes Bank,False,29,False
ACC007539,2023-01-21,personal,HDFC Bank,False,8,False
ACC007231,2023-05-12,personal,Federal Bank,False,2,False
ACC000764,2023-02-16,personal,Punjab National Bank,False,0,False
ACC005019,2019-12-14,personal,ICICI Bank,False,16,False
ACC004903,2020-01-15,personal,Bank of India,False,18,False
ACC008093,2023-08-25,personal,Union Bank of India,False,3,False
ACC006843,2021-09-19,personal,Kotak Mahindra Bank,False,10,False
ACC002165,2020-02-05,personal,Union Bank of India,False,11,False
ACC001862,2021-04-08,personal,Bank of Baroda,False,20,False
ACC007850,2021-01-26,personal,IDBI Bank,False,2,False
ACC009123,2020-08-06,personal,Yes Bank,False,3,False
ACC002340,2022-06-05,personal,Axis Bank,False,23,False
ACC005527,2020-09-04,personal,Union Bank of India,False,26,False
ACC006743,2020-08-29,personal,Kotak Mahindra Bank,False,2,False
ACC004003,2024-06-19,personal,Bank of Baroda,False,28,False
ACC001123,2023-10-11,personal,Union Bank of India,False,12,False
ACC008709,2023-11-06,business,Punjab National Bank,False,15,False
ACC004049,2021-06-23,personal,Bank of Baroda,False,29,False
ACC007640,2020-04-01,business,HDFC Bank,False,24,False
ACC000765,2019-08-25,personal,IDBI Bank,False,10,False
ACC002344,2024-04-24,personal,Kotak Mahindra Bank,False,23,False
ACC004071,2023-11-27,personal,Yes Bank,False,14,False
ACC007216,2023-03-15,business,ICICI Bank,False,16,False
ACC004216,2020-08-27,personal,Bank of Baroda,False,28,False
ACC007952,2021-12-09,business,Punjab National Bank,False,11,False
ACC005970,2020-10-19,personal,Canara Bank,False,20,False
ACC003350,2023-10-31,personal,Axis Bank,False,3,False
ACC004695,2023-05-17,personal,Bank of India,False,7,False
ACC003399,2022-10-02,personal,Bank of Baroda,False,7,False
ACC004081,2021-07-14,personal,Kotak Mahindra Bank,False,11,False
ACC009149,2023-05-13,business,Kotak Mahindra Bank,False,14,False
ACC001224,2019-07-22,personal,Yes Bank,False,17,False
ACC006292,2021-10-08,business,Punjab National Bank,False,14,False
ACC003122,2024-02-18,personal,Union Bank of India,False,17,False
ACC000510,2023-04-03,personal,Kotak Mahindra Bank,False,10,False
ACC005794,2021-04-12,personal,IndusInd Bank,True,220,False
ACC008181,2021-04-21,personal,State Bank of India,False,6,False
ACC009417,2021-06-07,personal,IDBI Bank,False,20,False
ACC000096,2024-03-07,personal,Axis Bank,False,15,False
ACC006681,2024-01-05,business,Yes Bank,False,30,False
ACC001512,2021-05-14,personal,State Bank of India,True,173,False
ACC008791,2021-05-15,personal,Federal Bank,False,25,False
ACC000119,2021-08-28,personal,Bank of India,False,29,False
ACC007791,2020-12-23,personal,IndusInd Bank,False,0,False
ACC006517,2020-10-25,personal,IndusInd Bank,False,30,False
ACC000033,2020-11-22,personal,Kotak Mahindra Bank,False,12,False
ACC007887,2024-05-23,personal,Union Bank of India,False,23,False
ACC006830,2023-07-24,personal,IndusInd Bank,False,21,False
ACC005421,2020-11-05,personal,Bank of India,False,26,False
ACC001068,2022-01-24,personal,Union Bank of India,False,16,False
ACC001347,2022-06-17,personal,Bank of India,False,25,False
ACC004747,2022-02-13,personal,HDFC Bank,False,15,False
ACC006005,2021-01-17,personal,Kotak Mahindra Bank,False,17,False
ACC006039,2024-06-09,personal,HDFC Bank,False,19,False
ACC003817,2020-10-02,personal,Axis Bank,False,7,False
ACC008446,2022-08-19,personal,Kotak Mahindra Bank,False,10,False
ACC005269,2020-11-30,personal,Punjab National Bank,False,0,False
ACC006897,2021-04-27,business,IDBI Bank,False,26,False
ACC005309,2019-09-11,personal,Kotak Mahindra Bank,False,15,False
ACC000031,2019-08-18,personal,Union Bank of India,False,3,False
ACC005674,2024-03-27,personal,IndusInd Bank,False,15,False
ACC004386,2022-05-02,personal,ICICI Bank,False,9,False
ACC000029,2022-11-23,personal,Kotak Mahindra Bank,False,5,False
ACC004202,2020-01-18,personal,Axis Bank,False,11,False
ACC007507,2020-06-21,business,Bank of Baroda,False,10,False
ACC000735,2024-06-20,personal,Canara Bank,False,12,False
ACC002067,2022-05-21,personal,Union Bank of India,False,7,False
ACC000106,2020-09-08,personal,Bank of India,True,250,False
ACC009644,2023-10-20,personal,Bank of Baroda,False,7,False
ACC008894,2020-08-25,personal,Bank of Baroda,False,13,False
ACC008020,2022-01-17,personal,IDBI Bank,False,9,False
ACC002232,2023-03-28,personal,State Bank of India,False,9,False
ACC000993,2022-07-04,business,Punjab National Bank,False,20,False
ACC009412,2022-07-10,personal,Canara Bank,False,1,False
ACC007058,2019-12-17,business,Bank of India,False,15,False
ACC006789,2021-06-02,personal,Union Bank of India,False,10,False
ACC000360,2023-04-24,business,ICICI Bank,False,28,False
ACC000304,2019-12-03,personal,Union Bank of India,False,2,False
ACC002627,2020-02-12,personal,HDFC Bank,False,4,False
ACC008965,2022-06-06,personal,HDFC Bank,False,6,False
ACC004513,2021-02-16,personal,Axis Bank,False,3,False
ACC005910,2020-09-14,personal,ICICI Bank,False,5,False
ACC008313,2023-03-17,personal,Bank of India,False,12,False
ACC003100,2022-08-04,personal,State Bank of India,False,24,False
ACC005703,2020-09-22,personal,Kotak Mahindra Bank,False,22,False
ACC003898,2022-10-04,personal,Federal Bank,False,17,False
ACC005440,2020-01-14,business,ICICI Bank,False,21,False
ACC007930,2020-02-01,personal,Union Bank of India,False,10,False
ACC000621,2022-09-04,personal,IndusInd Bank,False,3,False
ACC007235,2024-04-01,personal,Canara Bank,False,15,False
ACC002498,2021-03-10,business,Punjab National Bank,False,25,False
ACC000713,2021-09-29,personal,IDBI Bank,False,21,False
ACC008403,2023-05-26,personal,Federal Bank,True,314,False
ACC002855,2021-04-24,personal,Axis Bank,False,10,False
ACC004269,2020-02-12,personal,Federal Bank,False,12,False
ACC002908,2023-01-05,personal,Punjab National Bank,False,3,False
ACC008080,2024-03-16,personal,ICICI Bank,False,6,False
ACC004516,2022-04-01,personal,State Bank of India,False,24,False
ACC001261,2020-03-08,personal,HDFC Bank,False,25,False
ACC003160,2023-07-21,personal,HDFC Bank,False,2,False
ACC000970,2024-05-03,personal,IDBI Bank,False,12,False
ACC003912,2020-03-06,personal,Bank of India,False,6,False
ACC005198,2024-01-13,personal,IndusInd Bank,False,12,False
ACC008846,2020-08-16,personal,HDFC Bank,False,13,False
ACC000259,2020-10-22,personal,Punjab National Bank,False,12,False
ACC003790,2021-02-20,business,ICICI Bank,False,12,False
ACC009202,2023-06-01,business,Bank of Baroda,False,29,False
ACC000487,2019-09-14,personal,Punjab National Bank,False,15,False
ACC007907,2023-08-02,personal,Canara Bank,False,11,False
ACC000518,2024-03-07,personal,Yes Bank,False,27,False
ACC008342,2022-07-26,personal,Bank of India,False,6,False
ACC000311,2022-07-02,business,Federal Bank,False,20,False
ACC003231,2024-03-19,personal,IndusInd Bank,False,29,False
ACC007932,2019-12-18,personal,Bank of Baroda,False,1,False
ACC007457,2021-06-21,personal,Union Bank of India,False,27,False
ACC009783,2024-12-28,personal,Yes Bank,False,4,True
ACC005183,2023-11-17,personal,Axis Bank,False,21,False
ACC008076,2021-07-12,personal,State Bank of India,False,27,False
ACC006501,2022-02-22,personal,IDBI Bank,False,3,False
ACC006790,2021-11-13,personal,Bank of India,False,22,False
ACC007772,2019-08-20,personal,Bank of Baroda,False,14,False
ACC002737,2022-01-04,personal,ICICI Bank,False,29,False
ACC007841,2022-11-29,personal,Punjab National Bank,False,3,False
ACC006261,2022-09-23,personal,Union Bank of India,False,21,False
ACC008205,2019-08-25,personal,Bank of India,False,15,False
ACC001247,2021-01-18,personal,Kotak Mahindra Bank,False,3,False
ACC009335,2021-02-10,personal,IDBI Bank,False,2,False
ACC004194,2023-07-15,personal,HDFC Bank,False,8,False
ACC008000,2023-04-12,personal,HDFC Bank,False,5,False
ACC007377,2024-06-29,personal,IndusInd Bank,False,29,False
ACC003434,2021-10-15,personal,State Bank of India,False,15,False
ACC005381,2023-04-22,personal,IndusInd Bank,False,0,False
ACC000958,2021-08-02,personal,IDBI Bank,False,25,False
ACC000416,2021-12-01,personal,Axis Bank,False,20,False
ACC005741,2023-06-12,business,ICICI Bank,False,5,False
ACC006727,2020-03-14,personal,State Bank of India,False,14,False
ACC004381,2020-08-08,personal,Canara Bank,False,25,False
ACC005196,2020-04-09,business,IndusInd Bank,True,83,False
ACC001112,2019-12-24,personal,Axis Bank,False,22,False
ACC002688,2020-03-16,personal,Axis Bank,False,2,False
ACC006472,2021-11-04,business,State Bank of India,False,30,False
ACC008819,2022-10-29,personal,ICICI Bank,False,23,False
ACC007807,2024-02-13,personal,IndusInd Bank,False,9,False
ACC003410,2023-04-07,personal,Yes Bank,False,16,False
ACC000080,2022-06-01,personal,IndusInd Bank,False,16,False
ACC004613,2021-06-16,personal,IndusInd Bank,False,17,False
ACC001373,2022-02-09,personal,ICICI Bank,False,14,False
ACC001509,2022-04-13,personal,IDBI Bank,False,24,False
ACC006442,2023-09-07,personal,Bank of Baroda,False,14,False
ACC003070,2020-10-26,personal,Bank of Baroda,False,11,False
ACC003015,2023-12-09,personal,Axis Bank,False,27,False
ACC004822,2020-07-13,personal,Federal Bank,False,29,False
ACC007821,2021-05-11,business,Federal Bank,False,14,False
ACC000092,2023-09-17,personal,ICICI Bank,False,2,False
ACC009420,2022-12-18,personal,IndusInd Bank,False,4,False
ACC006599,2021-12-30,personal,Bank of India,False,7,False
ACC004442,2022-07-18,personal,Federal Bank,False,3,False
ACC007601,2019-07-23,personal,State Bank of India,False,11,False
ACC003834,2022-04-24,personal,Punjab National Bank,False,25,False
ACC009701,2024-12-20,personal,Canara Bank,False,4,True
ACC004321,2020-01-22,personal,Bank of Baroda,False,10,False
ACC003393,2023-01-19,personal,Punjab National Bank,False,27,False
ACC004751,2022-11-22,personal,IndusInd Bank,False,1,False
ACC007228,2023-12-23,personal,HDFC Bank,False,24,False
ACC009190,2023-01-28,personal,Kotak Mahindra Bank,False,4,False
ACC002360,2020-12-26,personal,Federal Bank,False,21,False
ACC001147,2022-01-27,personal,Canara Bank,True,219,False
ACC005665,2021-03-28,personal,State Bank of India,False,1,False
ACC008074,2019-10-14,personal,Yes Bank,False,30,False
ACC004942,2023-02-05,personal,IDBI Bank,False,3,False
ACC003662,2021-06-14,personal,Canara Bank,False,19,False
ACC001562,2023-07-21,personal,Kotak Mahindra Bank,False,11,False
ACC004112,2022-10-04,personal,HDFC Bank,False,2,False
ACC009049,2019-10-24,personal,Punjab National Bank,False,2,False
ACC009275,2021-02-22,personal,Yes Bank,False,12,False
ACC008537,2020-04-01,personal,ICICI Bank,False,22,False
ACC000794,2024-06-27,personal,Kotak Mahindra Bank,False,29,False
ACC005853,2021-11-08,personal,IndusInd Bank,False,20,False
ACC007618,2022-12-21,personal,Punjab National Bank,False,0,False
ACC001593,2022-09-06,personal,Bank of Baroda,False,30,False
ACC007417,2020-03-24,personal,State Bank of India,False,2,False
ACC005266,2024-04-02,personal,ICICI Bank,False,7,False
ACC007146,2021-06-13,business,Punjab National Bank,False,14,False
ACC000088,2021-09-12,personal,Bank of Baroda,False,13,False
ACC008694,2023-12-15,business,State Bank of India,False,12,False
ACC009731,2024-12-15,personal,Yes Bank,False,1,True
ACC009445,2020-06-15,personal,Yes Bank,False,3,False
ACC006753,2021-11-03,personal,HDFC Bank,False,17,False
ACC003501,2024-03-11,personal,Kotak Mahindra Bank,False,1,False
ACC002233,2022-06-17,personal,Bank of India,False,18,False
ACC002802,2020-08-02,personal,IDBI Bank,False,18,False
ACC004423,2021-05-06,personal,Union Bank of India,False,0,False
ACC005662,2020-03-01,personal,Federal Bank,True,292,False
ACC007169,2024-04-08,personal,State Bank of India,False,14,False
ACC008336,2020-12-27,personal,ICICI Bank,False,4,False
ACC002147,2021-05-08,personal,Bank of Baroda,False,4,False
ACC007968,2020-01-19,personal,HDFC Bank,False,5,False
ACC006550,2020-12-14,personal,Union Bank of India,False,6,False
ACC007642,2021-05-30,personal,Federal Bank,False,0,False
ACC006163,2022-01-20,personal,IDBI Bank,False,14,False
ACC001494,2022-10-18,personal,Federal Bank,False,24,False
ACC007695,2023-11-08,business,Bank of Baroda,False,1,False
ACC007093,2022-02-04,personal,Union Bank of India,False,13,False
ACC001408,2024-01-16,personal,Bank of India,False,0,False
ACC006690,2024-06-30,business,IDBI Bank,False,13,False
ACC003400,2021-03-05,personal,HDFC Bank,False,5,False
ACC000108,2022-11-01,personal,Union Bank of India,False,16,False
ACC005635,2019-09-08,personal,State Bank of India,False,28,False
ACC008481,2021-07-20,personal,Punjab National Bank,False,12,False
ACC006603,2020-01-21,personal,Punjab National Bank,False,24,False
ACC001090,2019-08-13,personal,IDBI Bank,False,21,False
ACC005559,2024-05-05,personal,Canara Bank,True,67,False
ACC009411,2021-08-08,personal,Bank of India,False,12,False
ACC008142,2021-08-14,personal,Bank of India,False,11,False
ACC008663,2023-01-14,personal,IDBI Bank,False,29,False
ACC006595,2022-03-19,personal,Yes Bank,False,15,False
ACC000623,2021-04-25,personal,HDFC Bank,False,24,False
ACC006870,2022-08-12,personal,Union Bank of India,False,6,False
ACC004813,2020-01-27,business,HDFC Bank,False,25,False
ACC006552,2023-12-09,personal,Canara Bank,False,9,False
ACC007529,2019-08-08,personal,Yes Bank,False,25,False
ACC005795,2019-08-22,personal,IDBI Bank,False,13,False
ACC007436,2020-02-15,personal,Bank of Baroda,False,28,False
ACC004217,2022-11-29,personal,ICICI Bank,False,18,False
ACC005940,2020-12-21,personal,Kotak Mahindra Bank,False,18,False
ACC008500,2022-12-16,personal,HDFC Bank,False,14,False
ACC006428,2020-08-08,personal,Yes Bank,False,15,False
ACC006826,2021-01-01,personal,Bank of India,False,6,False
ACC004130,2020-08-06,personal,Union Bank of India,False,18,False
ACC007801,2024-05-30,personal,HDFC Bank,False,14,False
ACC007753,2024-02-02,personal,Union Bank of India,False,9,False
ACC004721,2022-12-31,personal,HDFC Bank,False,19,False
ACC001650,2022-10-02,personal,Union Bank of India,False,6,False
ACC004140,2021-02-04,personal,Punjab National Bank,False,0,False
ACC001617,2022-02-23,business,IndusInd Bank,False,19,False
ACC002029,2020-03-15,personal,Canara Bank,False,24,False
ACC008517,2023-04-28,personal,IndusInd Bank,True,356,False
ACC004575,2020-05-17,personal,ICICI Bank,False,1,False
ACC003992,2021-03-06,personal,Bank of India,False,14,False
ACC007376,2024-04-02,personal,HDFC Bank,False,3,False
ACC006149,2021-10-19,business,Axis Bank,False,1,False
ACC004908,2023-02-22,personal,Bank of Baroda,True,353,False
ACC005026,2020-07-27,business,IDBI Bank,False,29,False
ACC008260,2023-01-18,personal,HDFC Bank,False,6,False
ACC004731,2022-08-27,personal,IndusInd Bank,False,21,False
ACC007548,2023-09-29,personal,Canara Bank,False,9,False
ACC008134,2023-08-01,personal,Axis Bank,False,20,False
ACC001606,2020-05-13,personal,State Bank of India,False,14,False
ACC004773,2021-05-31,personal,Kotak Mahindra Bank,False,8,False
ACC008109,2022-08-20,personal,HDFC Bank,False,24,False
ACC006951,2022-09-29,business,Axis Bank,False,0,False
ACC006004,2024-05-27,personal,Punjab National Bank,False,11,False
ACC007728,2021-12-20,personal,IDBI Bank,False,5,False
ACC003541,2020-12-18,personal,Axis Bank,False,30,False
ACC000388,2022-06-01,business,ICICI Bank,True,283,False
ACC001794,2021-10-24,personal,Bank of India,False,12,False
ACC008731,2022-06-18,personal,Canara Bank,False,20,False
ACC004919,2019-08-05,business,Kotak Mahindra Bank,False,1,False
ACC005537,2022-03-30,personal,IndusInd Bank,False,13,False
ACC003872,2022-05-05,personal,State Bank of India,False,23,False
ACC008868,2019-12-29,personal,Bank of Baroda,False,26,False
ACC002254,2021-05-26,personal,IDBI Bank,False,22,False
ACC003412,2023-01-18,personal,Bank of Baroda,False,8,False
ACC005459,2023-09-09,personal,IDBI Bank,False,0,False
ACC004955,2022-04-19,personal,Canara Bank,False,5,False
ACC007396,2023-03-16,personal,HDFC Bank,False,20,False
ACC005414,2023-02-13,personal,Bank of India,False,10,False
ACC007399,2023-11-02,personal,Bank of Baroda,False,9,False
ACC007414,2022-11-05,personal,Yes Bank,False,1,False
ACC009100,2020-11-29,personal,IndusInd Bank,False,24,False
ACC004851,2023-03-08,personal,Bank of India,True,351,False
ACC002025,2023-02-17,personal,Yes Bank,False,16,False
ACC002615,2022-05-05,personal,HDFC Bank,False,2,False
ACC007388,2023-09-04,business,Axis Bank,False,29,False
ACC002926,2022-04-13,personal,Bank of Baroda,False,29,False
ACC001121,2023-02-26,personal,Canara Bank,False,25,False
ACC002910,2021-06-13,personal,HDFC Bank,True,311,False
ACC008146,2023-10-24,personal,ICICI Bank,False,11,False
ACC007383,2022-11-10,personal,ICICI Bank,False,23,False
ACC003482,2020-12-03,personal,Axis Bank,False,6,False
ACC000795,2022-03-27,personal,Yes Bank,False,13,False
ACC001575,2022-12-19,business,ICICI Bank,False,6,False
ACC006176,2021-02-09,personal,Yes Bank,False,19,False
ACC006266,2020-07-22,personal,IndusInd Bank,False,18,False
ACC002458,2022-08-08,personal,Bank of India,False,13,False
ACC003312,2020-02-23,personal,IDBI Bank,False,9,False
ACC001253,2022-12-10,personal,Federal Bank,False,0,False
ACC006834,2024-04-04,personal,Canara Bank,False,11,False
ACC008794,2022-07-05,personal,Canara Bank,False,18,False
ACC003837,2021-11-02,personal,Federal Bank,False,19,False
ACC004398,2022-03-05,business,Canara Bank,False,8,False
ACC003595,2023-02-23,business,State Bank of India,False,2,False
ACC006621,2023-02-01,business,Axis Bank,False,11,False
ACC008382,2023-06-24,personal,Punjab National Bank,False,8,False
ACC002124,2021-12-22,personal,State Bank of India,False,19,False
ACC003238,2020-01-05,personal,Bank of India,False,5,False
ACC005403,2021-08-10,personal,Canara Bank,False,0,False
ACC005998,2019-11-09,personal,Bank of Baroda,False,12,False
ACC005938,2023-02-06,personal,Punjab National Bank,False,21,False
ACC002045,2024-05-18,personal,Federal Bank,False,9,False
ACC001578,2022-11-09,personal,Union Bank of India,False,1,False
ACC000014,2021-12-13,personal,Canara Bank,False,14,False
ACC002673,2021-08-03,personal,ICICI Bank,False,10,False
ACC007016,2022-05-26,personal,Axis Bank,False,25,False
ACC008720,2019-09-13,personal,Union Bank of India,False,8,False
ACC008849,2022-07-12,personal,Kotak Mahindra Bank,False,3,False
ACC004812,2020-01-27,personal,ICICI Bank,False,19,False
ACC001084,2021-10-01,business,IDBI Bank,False,0,False
ACC004983,2021-11-29,personal,Bank of India,True,266,False
ACC007155,2023-11-14,business,IDBI Bank,False,25,False
ACC002884,2022-05-25,personal,ICICI Bank,False,12,False
ACC000333,2021-09-13,business,Canara Bank,False,19,False
ACC007204,2020-10-12,personal,State Bank of India,False,25,False
ACC004367,2022-06-11,personal,Axis Bank,False,17,False
ACC003079,2023-01-09,personal,HDFC Bank,False,26,False
ACC007203,2021-06-23,personal,IndusInd Bank,False,30,False
ACC009909,2024-12-24,personal,Axis Bank,False,3,True
ACC008864,2021-02-03,personal,Canara Bank,False,6,False
ACC000263,2023-05-13,personal,Axis Bank,False,5,False
ACC004337,2019-08-25,personal,Axis Bank,False,29,False
ACC008895,2020-08-30,personal,Kotak Mahindra Bank,True,344,False
ACC008447,2019-12-27,personal,ICICI Bank,True,254,False
ACC005903,2022-06-25,personal,Union Bank of India,False,28,False
ACC001498,2021-03-30,personal,Axis Bank,False,15,False
ACC004190,2020-10-02,personal,Kotak Mahindra Bank,False,23,False
ACC007485,2020-08-29,personal,Axis Bank,False,18,False
ACC009643,2024-06-19,personal,State Bank of India,False,27,False
ACC008310,2022-04-04,personal,State Bank of India,False,0,False
ACC007590,2023-11-23,personal,State Bank of India,False,7,False
ACC000500,2024-06-02,business,Kotak Mahindra Bank,False,14,False
ACC009155,2022-06-19,personal,ICICI Bank,False,22,False
ACC009414,2023-05-31,personal,IDBI Bank,False,14,False
ACC003095,2020-02-03,personal,Yes Bank,False,1,False
ACC004631,2022-02-11,personal,Bank of India,False,24,False
ACC000367,2020-06-12,personal,ICICI Bank,False,21,False
ACC004058,2023-07-25,personal,Kotak Mahindra Bank,False,20,False
ACC008174,2020-12-02,business,Federal Bank,False,7,False
ACC004630,2020-12-26,personal,IDBI Bank,False,25,False
ACC006070,2021-11-20,business,Bank of India,False,14,False
ACC002664,2024-01-13,personal,Axis Bank,False,9,False
ACC001026,2024-05-22,personal,Bank of India,False,15,False
ACC005908,2020-07-03,personal,ICICI Bank,False,21,False
ACC005050,2023-08-07,personal,IndusInd Bank,False,16,False
ACC006328,2021-01-25,personal,IndusInd Bank,False,22,False
ACC009733,2021-11-11,personal,Punjab National Bank,True,160,True
ACC001691,2022-07-22,personal,Yes Bank,False,22,False
ACC000673,2020-04-04,business,IndusInd Bank,False,17,False
ACC005572,2021-08-24,personal,Union Bank of India,False,20,False
ACC005766,2024-03-20,personal,HDFC Bank,False,12,False
ACC005156,2020-03-14,personal,Bank of India,False,0,False
ACC000733,2022-01-02,personal,ICICI Bank,False,22,False
ACC003526,2021-04-06,personal,Bank of Baroda,False,5,False
ACC000568,2020-06-27,personal,Axis Bank,False,29,False
ACC009187,2021-08-30,personal,Punjab National Bank,False,23,False
ACC002922,2022-09-03,personal,HDFC Bank,False,3,False
ACC007911,2020-01-26,personal,Punjab National Bank,False,27,False
ACC001558,2021-06-24,business,State Bank of India,False,2,False
ACC000101,2019-10-19,personal,Bank of India,False,1,False
ACC003007,2022-07-18,personal,Kotak Mahindra Bank,False,2,False
ACC007201,2020-03-16,personal,Canara Bank,False,11,False
ACC000303,2024-04-14,personal,Yes Bank,False,9,False
ACC000076,2020-06-06,personal,ICICI Bank,False,22,False
ACC006754,2023-09-07,personal,IDBI Bank,False,23,False
ACC008629,2019-09-12,personal,Bank of Baroda,False,13,False
ACC001208,2023-02-16,business,IDBI Bank,False,25,False
ACC007742,2023-12-08,business,IndusInd Bank,False,1,False
