doc_id,source,title,text
GOV_DOC_011,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 11),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Enforcement Directorate (ED). These criminals typically contact victims via WhatsApp video communications, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_012,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 12),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Narcotics Control Bureau (NCB), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes Skype video calls to interrogate suspects, demand instant financial transfers via cryptocurrency channels, or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_013,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 13),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged virtual meeting platforms where the victim is psychologically pressured by actors posing as personnel from Customs Department. The ultimate goal is financial extortion, usually demanding funds to be transferred via Real Time Gross Settlement (RTGS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_014,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 14),"The National Crime Records Bureau (NCRB) has documented a 81% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Pune and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Real Time Gross Settlement (RTGS), are attributed to criminals posing as Narcotics Control Bureau (NCB) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over direct phone and video contact mediums."
GOV_DOC_015,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 15),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Narcotics Control Bureau (NCB), are forcing individuals into Skype video callss. They demand immediate deposits via cryptocurrency channels to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Delhi or anywhere else."
GOV_DOC_016,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 16),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Enforcement Directorate (ED). These criminals typically contact victims via WhatsApp video communications, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_017,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 17),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Telecom Regulatory Authority of India (TRAI), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes virtual meeting platforms to interrogate suspects, demand instant financial transfers via cryptocurrency channels, or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_018,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 18),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged direct phone and video contact where the victim is psychologically pressured by actors posing as personnel from Narcotics Control Bureau (NCB). The ultimate goal is financial extortion, usually demanding funds to be transferred via Unified Payments Interface (UPI) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_019,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 19),"The National Crime Records Bureau (NCRB) has documented a 65% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Mumbai and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through cryptocurrency channels, are attributed to criminals posing as Narcotics Control Bureau (NCB) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over WhatsApp video communications mediums."
GOV_DOC_020,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 20),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Telecom Regulatory Authority of India (TRAI), are forcing individuals into WhatsApp video communicationss. They demand immediate deposits via Unified Payments Interface (UPI) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Ahmedabad or anywhere else."
GOV_DOC_021,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 21),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Telecom Regulatory Authority of India (TRAI). These criminals typically contact victims via Skype video calls, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_022,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 22),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Telecom Regulatory Authority of India (TRAI), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes direct phone and video contact to interrogate suspects, demand instant financial transfers via Unified Payments Interface (UPI), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_023,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 23),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged direct phone and video contact where the victim is psychologically pressured by actors posing as personnel from Telecom Regulatory Authority of India (TRAI). The ultimate goal is financial extortion, usually demanding funds to be transferred via Real Time Gross Settlement (RTGS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_024,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 24),"The National Crime Records Bureau (NCRB) has documented a 42% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Ahmedabad and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Immediate Payment Service (IMPS), are attributed to criminals posing as Customs Department officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over Skype video calls mediums."
GOV_DOC_025,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 25),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Narcotics Control Bureau (NCB), are forcing individuals into direct phone and video contacts. They demand immediate deposits via Real Time Gross Settlement (RTGS) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Mumbai or anywhere else."
GOV_DOC_026,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 26),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Enforcement Directorate (ED). These criminals typically contact victims via Skype video calls, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_027,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 27),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Enforcement Directorate (ED), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes Skype video calls to interrogate suspects, demand instant financial transfers via Immediate Payment Service (IMPS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_028,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 28),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged WhatsApp video communications where the victim is psychologically pressured by actors posing as personnel from Central Bureau of Investigation (CBI). The ultimate goal is financial extortion, usually demanding funds to be transferred via Unified Payments Interface (UPI) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_029,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 29),"The National Crime Records Bureau (NCRB) has documented a 74% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Chennai and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Real Time Gross Settlement (RTGS), are attributed to criminals posing as Telecom Regulatory Authority of India (TRAI) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over WhatsApp video communications mediums."
GOV_DOC_030,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 30),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Customs Department, are forcing individuals into direct phone and video contacts. They demand immediate deposits via Unified Payments Interface (UPI) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Mumbai or anywhere else."
GOV_DOC_031,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 31),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Telecom Regulatory Authority of India (TRAI). These criminals typically contact victims via direct phone and video contact, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_032,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 32),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Customs Department, claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes virtual meeting platforms to interrogate suspects, demand instant financial transfers via Real Time Gross Settlement (RTGS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_033,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 33),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged virtual meeting platforms where the victim is psychologically pressured by actors posing as personnel from Central Bureau of Investigation (CBI). The ultimate goal is financial extortion, usually demanding funds to be transferred via Unified Payments Interface (UPI) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_034,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 34),"The National Crime Records Bureau (NCRB) has documented a 41% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Hyderabad and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Immediate Payment Service (IMPS), are attributed to criminals posing as Enforcement Directorate (ED) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over WhatsApp video communications mediums."
GOV_DOC_035,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 35),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Telecom Regulatory Authority of India (TRAI), are forcing individuals into direct phone and video contacts. They demand immediate deposits via Unified Payments Interface (UPI) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Mumbai or anywhere else."
GOV_DOC_036,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 36),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Enforcement Directorate (ED). These criminals typically contact victims via WhatsApp video communications, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_037,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 37),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Customs Department, claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes virtual meeting platforms to interrogate suspects, demand instant financial transfers via Real Time Gross Settlement (RTGS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_038,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 38),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged direct phone and video contact where the victim is psychologically pressured by actors posing as personnel from Telecom Regulatory Authority of India (TRAI). The ultimate goal is financial extortion, usually demanding funds to be transferred via Real Time Gross Settlement (RTGS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_039,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 39),"The National Crime Records Bureau (NCRB) has documented a 80% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Mumbai and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Unified Payments Interface (UPI), are attributed to criminals posing as Telecom Regulatory Authority of India (TRAI) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over direct phone and video contact mediums."
GOV_DOC_040,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 40),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Telecom Regulatory Authority of India (TRAI), are forcing individuals into virtual meeting platformss. They demand immediate deposits via Real Time Gross Settlement (RTGS) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Delhi or anywhere else."
GOV_DOC_041,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 41),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Central Bureau of Investigation (CBI). These criminals typically contact victims via virtual meeting platforms, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_042,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 42),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Telecom Regulatory Authority of India (TRAI), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes virtual meeting platforms to interrogate suspects, demand instant financial transfers via Immediate Payment Service (IMPS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_043,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 43),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged Skype video calls where the victim is psychologically pressured by actors posing as personnel from Enforcement Directorate (ED). The ultimate goal is financial extortion, usually demanding funds to be transferred via cryptocurrency channels to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_044,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 44),"The National Crime Records Bureau (NCRB) has documented a 68% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Pune and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Real Time Gross Settlement (RTGS), are attributed to criminals posing as Central Bureau of Investigation (CBI) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over direct phone and video contact mediums."
GOV_DOC_045,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 45),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Narcotics Control Bureau (NCB), are forcing individuals into direct phone and video contacts. They demand immediate deposits via Unified Payments Interface (UPI) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Jaipur or anywhere else."
GOV_DOC_046,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 46),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Telecom Regulatory Authority of India (TRAI). These criminals typically contact victims via WhatsApp video communications, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_047,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 47),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Telecom Regulatory Authority of India (TRAI), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes WhatsApp video communications to interrogate suspects, demand instant financial transfers via Immediate Payment Service (IMPS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_048,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 48),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged WhatsApp video communications where the victim is psychologically pressured by actors posing as personnel from Narcotics Control Bureau (NCB). The ultimate goal is financial extortion, usually demanding funds to be transferred via Real Time Gross Settlement (RTGS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_049,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 49),"The National Crime Records Bureau (NCRB) has documented a 43% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Chennai and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Immediate Payment Service (IMPS), are attributed to criminals posing as Telecom Regulatory Authority of India (TRAI) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over Skype video calls mediums."
GOV_DOC_050,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 50),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Telecom Regulatory Authority of India (TRAI), are forcing individuals into direct phone and video contacts. They demand immediate deposits via Real Time Gross Settlement (RTGS) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Chennai or anywhere else."
